Campaign ID,Campaign Name,Campaign Status,Campaign Objective,Buying Type,Campaign Spend Limit,Campaign Daily Budget,Campaign Lifetime Budget,Campaign Bid Strategy,Tags,Product Catalog ID,Campaign Page ID,Ad Set ID,Ad Set Run Status,Ad Set Lifetime Impressions,Ad Set Name,Ad Set Time Start,Ad Set Time Stop,Ad Set Daily Budget,Destination Type,Ad Set Lifetime Budget,Rate Card,Ad Set Schedule,Use Accelerated Delivery,Frequency Control,Ad Set Minimum Spend Limit,Ad Set Maximum Spend Limit,Link Object ID,Optimized Conversion Tracking Pixels,Optimized Custom Conversion ID,Optimized Pixel Rule,Optimized Event,Link,Application ID,Product Set ID,Place Page Set ID,Object Store URL,Offer ID,Countries,Cities,Regions,Electoral Districts,Zip,Addresses,Geo Markets (DMA),Global Regions,Location Types,Location Set IDs,Excluded Countries,Excluded Cities,Excluded Regions,Excluded Electoral Districts,Excluded Zip,Excluded Addresses,Excluded Geo Markets (DMA),Excluded Global Regions,Gender,Age Min,Age Max,Education Status,Fields of Study,Education Schools,Work Job Titles,Work Employers,College Start Year,College End Year,Interested In,Relationship,Family Statuses,Industries,Life Events,Politics,Income,Net Worth,Home Type,Home Ownership,Home Value,Multicultural Affinity,Generation,Household Composition,Moms,Office Type,Behaviors,Connections,Excluded Connections,Friends of Connections,Locales,Site Category,Unified Interests,Excluded User AdClusters,Broad Category Clusters,Targeting Categories - ALL OF,Custom Audiences,Excluded Custom Audiences,Flexible Inclusions,Flexible Exclusions,Targeting Optimization,Product Audience Specs,Excluded Product Audience Specs,Targeted Business Locations,Publisher Platforms,Facebook Positions,Instagram Positions,Audience Network Positions,Messenger Positions,Device Platforms,User Device,Excluded User Device,User Operating System,User OS Version,Wireless Carrier,Excluded Publisher Categories,Optimization Goal,Attribution Spec,Billing Event,Bid Amount,Ad Set Bid Strategy,Story ID,Ad ID,Ad Status,Preview Link,Instagram Preview Link,Ad Name,Title,Body,Link Description,Retailer IDs,Post Click Item Headline,Post Click Item Description,Display Link,Conversion Tracking Pixels,Image Hash,Image Crops,Video Thumbnail URL,Instagram Platform Image Hash,Instagram Platform Image Crops,Instagram Platform Image URL,Creative Type,URL Tags,Event ID,Video ID,Instagram Account ID,Mobile App Deep Link,Product Link,Call to Action,Call to Action Link,Additional Custom Tracking Specs,Video Retargeting,Lead Form ID,Permalink,Force Single Link,Dynamic Ad Voice,Creative Optimization,Template URL,Android App Name,Android Package Name,Deep Link For Android,Facebook App ID,iOS App Name,iOS App Store ID,Deep Link For iOS,iPad App Name,iPad App Store ID,Deep Link For iPad,iPhone App Name,iPhone App Store ID,Deep Link For iPhone,Deep link to website,Windows Store ID,Windows App Name,Deep Link For Windows Phone,Add End Card,Dynamic Ads Ad Context,Page Welcome Message,App Destination,Use Page as Actor,Image Overlay Template,Image Overlay Text Type,Image Overlay Text Font,Image Overlay Position,Image Overlay Theme Color,Image Overlay Float With Margin,Product 1 - Link,Product 1 - Name,Product 1 - Description,Product 1 - Image Hash,Product 1 - Image Crops,Product 1 - Video ID,Product 1 - Mobile App Deep Link,Product 1 - Display Link,Product 1 - Place Data,Product 1 - Is Static Card,Product 2 - Link,Product 2 - Name,Product 2 - Description,Product 2 - Image Hash,Product 2 - Image Crops,Product 2 - Video ID,Product 2 - Mobile App Deep Link,Product 2 - Display Link,Product 2 - Place Data,Product 2 - Is Static Card,Product 3 - Link,Product 3 - Name,Product 3 - Description,Product 3 - Image Hash,Product 3 - Image Crops,Product 3 - Video ID,Product 3 - Mobile App Deep Link,Product 3 - Display Link,Product 3 - Place Data,Product 3 - Is Static Card,Product 4 - Link,Product 4 - Name,Product 4 - Description,Product 4 - Image Hash,Product 4 - Image Crops,Product 4 - Video ID,Product 4 - Mobile App Deep Link,Product 4 - Display Link,Product 4 - Place Data,Product 4 - Is Static Card,Product 5 - Link,Product 5 - Name,Product 5 - Description,Product 5 - Image Hash,Product 5 - Image Crops,Product 5 - Video ID,Product 5 - Mobile App Deep Link,Product 5 - Display Link,Product 5 - Place Data,Product 5 - Is Static Card,Product 6 - Link,Product 6 - Name,Product 6 - Description,Product 6 - Image Hash,Product 6 - Image Crops,Product 6 - Video ID,Product 6 - Mobile App Deep Link,Product 6 - Display Link,Product 6 - Place Data,Product 6 - Is Static Card,Product 7 - Link,Product 7 - Name,Product 7 - Description,Product 7 - Image Hash,Product 7 - Image Crops,Product 7 - Video ID,Product 7 - Mobile App Deep Link,Product 7 - Display Link,Product 7 - Place Data,Product 7 - Is Static Card,Product 8 - Link,Product 8 - Name,Product 8 - Description,Product 8 - Image Hash,Product 8 - Image Crops,Product 8 - Video ID,Product 8 - Mobile App Deep Link,Product 8 - Display Link,Product 8 - Place Data,Product 8 - Is Static Card,Product 9 - Link,Product 9 - Name,Product 9 - Description,Product 9 - Image Hash,Product 9 - Image Crops,Product 9 - Video ID,Product 9 - Mobile App Deep Link,Product 9 - Display Link,Product 9 - Place Data,Product 9 - Is Static Card,Product 10 - Link,Product 10 - Name,Product 10 - Description,Product 10 - Image Hash,Product 10 - Image Crops,Product 10 - Video ID,Product 10 - Mobile App Deep Link,Product 10 - Display Link,Product 10 - Place Data,Product 10 - Is Static Card,Image
cg:23842702394230778,Dia de los Muertos,PAUSED,Conversions,AUCTION,,,,,,,,c:23842702394290778,ACTIVE,0,Tucson-35-55,10/18/17 22:30,10/23/17 22:09,10,UNDEFINED,0,,,No,,,,o:1818914131671420,tp:1178478948919858,,,INITIATED_CHECKOUT,https://www.celebrateforgood.com/dia-de-los-muertos-tea-cocktail-party,,,,,,,,,,,,Tucson (Sierra Vista),,home,,,,,,,,,,,35,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""interests"":[{""id"":""6002949260155"",""name"":""Day of the Dead""},{""id"":""6004038702209"",""name"":""All Souls' Day""}]},{""interests"":[{""id"":""6002931949762"",""name"":""Cocktail""},{""id"":""6003332261828"",""name"":""Alcohol""},{""id"":""6003409043877"",""name"":""Alcoholic beverages""}]},{""interests"":[{""id"":""6003222044676"",""name"":""Charitable organization""},{""id"":""6003422719241"",""name"":""Charity and causes""}]}]",,none,,,,facebook,feed,,,,"mobile, desktop",,,,,,,OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,,Lowest Cost,,a:23842702394400778,ACTIVE,https://www.facebook.com/?feed_demo_ad=23842702394400778&h=AQDgPo7Rhb0Wqqze,,Cheers-1,Dia De Los Muertos Cocktail Party,"Celebrate life over delicious local food, tea cocktails while enjoying community and giving back to a cause that supports the Mexican culture in Tucson. Find more information below!",Limited number of tickets available.,,,,https://www.celebrateforgood.com/dia-de-los-muertos/,tp:1178478948919858,1624157600969567:0322dc1ccdbf8043e73e51aa119df83c,"191x100: (0,48)-(2048,1120)",,,,,Link Page Post Ad,utm_source=facebook&utm_medium=cpc&utm_campaign=Dia%20de%20los%20Muertos&utm_term=Tucson-35-55&utm_content=Cheers-1,,,,,,LEARN_MORE,,[],No,,https://business.facebook.com/1818914131671420/posts/2043109195918578?business_id=1302633089788688,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg:23842702394230778,Dia de los Muertos,PAUSED,Conversions,AUCTION,,,,,,,,c:23842702394290778,ACTIVE,0,Tucson-35-55,10/18/17 22:30,10/23/17 22:09,10,UNDEFINED,0,,,No,,,,o:1818914131671420,tp:1178478948919858,,,INITIATED_CHECKOUT,https://www.celebrateforgood.com/dia-de-los-muertos-tea-cocktail-party,,,,,,,,,,,,Tucson (Sierra Vista),,home,,,,,,,,,,,35,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""interests"":[{""id"":""6002949260155"",""name"":""Day of the Dead""},{""id"":""6004038702209"",""name"":""All Souls' Day""}]},{""interests"":[{""id"":""6002931949762"",""name"":""Cocktail""},{""id"":""6003332261828"",""name"":""Alcohol""},{""id"":""6003409043877"",""name"":""Alcoholic beverages""}]},{""interests"":[{""id"":""6003222044676"",""name"":""Charitable organization""},{""id"":""6003422719241"",""name"":""Charity and causes""}]}]",,none,,,,facebook,feed,,,,"mobile, desktop",,,,,,,OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,,Lowest Cost,,a:23842702407000778,ACTIVE,https://www.facebook.com/?feed_demo_ad=23842702407000778&h=AQAAx4_jONakqcTQ,,Cheers-2,Dia De Los Muertos Cocktail Party,"El Dia de los Muertos (the Day of the Dead), a Mexican celebration, is a day to celebrate, remember and prepare special foods in honor of those who have departed. We will be gathering to celebrate life over delicious local food, tea cocktails while enjoying community and giving back to a cause that supports the Mexican culture in Tucson!",Limited number of tickets available.,,,,https://www.celebrateforgood.com/dia-de-los-muertos/,tp:1178478948919858,1624157600969567:0322dc1ccdbf8043e73e51aa119df83c,"191x100: (0,48)-(2048,1120)",,,,,Link Page Post Ad,utm_source=facebook&utm_medium=cpc&utm_campaign=Dia%20de%20los%20Muertos&utm_term=Tucson-35-55&utm_content=Cheers-2,,,,,,LEARN_MORE,,[],No,,https://business.facebook.com/1818914131671420/posts/2043109122585252?business_id=1302633089788688,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg:23842702394230778,Dia de los Muertos,PAUSED,Conversions,AUCTION,,,,,,,,c:23842702394290778,ACTIVE,0,Tucson-35-55,10/18/17 22:30,10/23/17 22:09,10,UNDEFINED,0,,,No,,,,o:1818914131671420,tp:1178478948919858,,,INITIATED_CHECKOUT,https://www.celebrateforgood.com/dia-de-los-muertos-tea-cocktail-party,,,,,,,,,,,,Tucson (Sierra Vista),,home,,,,,,,,,,,35,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""interests"":[{""id"":""6002949260155"",""name"":""Day of the Dead""},{""id"":""6004038702209"",""name"":""All Souls' Day""}]},{""interests"":[{""id"":""6002931949762"",""name"":""Cocktail""},{""id"":""6003332261828"",""name"":""Alcohol""},{""id"":""6003409043877"",""name"":""Alcoholic beverages""}]},{""interests"":[{""id"":""6003222044676"",""name"":""Charitable organization""},{""id"":""6003422719241"",""name"":""Charity and causes""}]}]",,none,,,,facebook,feed,,,,"mobile, desktop",,,,,,,OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,,Lowest Cost,,a:23842702399160778,ACTIVE,https://www.facebook.com/?feed_demo_ad=23842702399160778&h=AQA32AdZhKPWGIBg,,Video-1,Dia De Los Muertos Cocktail Party,"Celebrate life over delicious local food, tea cocktails while enjoying community and giving back to a cause that supports the Mexican culture in Tucson. Find more information below!",Limited number of tickets available.,,,,https://www.celebrateforgood.com/dia-de-los-muertos/,tp:1178478948919858,1624157600969567:d75ef0d03e508065a67bca872656d597,,,,,,Video Page Post Ad,utm_source=facebook&utm_medium=cpc&utm_campaign=Dia%20de%20los%20Muertos&utm_term=Tucson-35-55&utm_content=Video-1,,v:2042324662663698,,,,LEARN_MORE,,[],No,,https://business.facebook.com/1818914131671420/posts/2043108852585279?business_id=1302633089788688,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg:23842702394230778,Dia de los Muertos,PAUSED,Conversions,AUCTION,,,,,,,,c:23842702394290778,ACTIVE,0,Tucson-35-55,10/18/17 22:30,10/23/17 22:09,10,UNDEFINED,0,,,No,,,,o:1818914131671420,tp:1178478948919858,,,INITIATED_CHECKOUT,https://www.celebrateforgood.com/dia-de-los-muertos-tea-cocktail-party,,,,,,,,,,,,Tucson (Sierra Vista),,home,,,,,,,,,,,35,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""interests"":[{""id"":""6002949260155"",""name"":""Day of the Dead""},{""id"":""6004038702209"",""name"":""All Souls' Day""}]},{""interests"":[{""id"":""6002931949762"",""name"":""Cocktail""},{""id"":""6003332261828"",""name"":""Alcohol""},{""id"":""6003409043877"",""name"":""Alcoholic beverages""}]},{""interests"":[{""id"":""6003222044676"",""name"":""Charitable organization""},{""id"":""6003422719241"",""name"":""Charity and causes""}]}]",,none,,,,facebook,feed,,,,"mobile, desktop",,,,,,,OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,,Lowest Cost,,a:23842702407010778,ACTIVE,https://www.facebook.com/?feed_demo_ad=23842702407010778&h=AQD82_tzYnaJ-0Ob,,Video-2,Dia De Los Muertos Cocktail Party,"El Dia de los Muertos (the Day of the Dead), a Mexican celebration, is a day to celebrate, remember and prepare special foods in honor of those who have departed. We will be gathering to celebrate life over delicious local food, tea cocktails while enjoying community and giving back to a cause that supports the Mexican culture in Tucson!",Limited number of tickets available.,,,,https://www.celebrateforgood.com/dia-de-los-muertos/,tp:1178478948919858,1624157600969567:d75ef0d03e508065a67bca872656d597,,,,,,Video Page Post Ad,utm_source=facebook&utm_medium=cpc&utm_campaign=Dia%20de%20los%20Muertos&utm_term=Tucson-35-55&utm_content=Video-2,,v:2042324662663698,,,,LEARN_MORE,,[],No,,https://business.facebook.com/1818914131671420/posts/2043108655918632?business_id=1302633089788688,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg:23842701703370778,Birthday Targets,ACTIVE,Traffic,AUCTION,,,,,,,,c:23842701703420778,ACTIVE,0,Women-18-45-Dec+Nov,10/17/17 23:25,10/23/17 23:07,10,UNDEFINED,0,,,No,,,,o:1818914131671420,,,,,https://www.celebrateforgood.com/how-it-works/,,,,,,,,,,,,Tucson (Sierra Vista),,"home, recent",,,,,,,,,,Women,18,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""life_events"":[{""id"":""6048810914583"",""name"":""Birthday in December""},{""id"":""6048810938183"",""name"":""Birthday in November""}]},{""interests"":[{""id"":""6003222044676"",""name"":""Charitable organization""},{""id"":""6003422719241"",""name"":""Charity and causes""}]}]",,none,,,,facebook,feed,,,,"mobile, desktop",,,,,,,LINK_CLICKS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":1}]",LINK_CLICKS,,Lowest Cost,,a:23842701706900778,ACTIVE,https://www.facebook.com/?feed_demo_ad=23842701706900778&h=AQDFNPKxDK8P2USC,,Flowers-1,How It Works,"You are watching your friends walk out the door, one by one, seemingly pleased with the party you have put on. However, as you close that big wooden door and turn around, you realize there is a pile of dishes the size of Mount Kilimanjaro, you have to be up early for work, and you don't ACTUALLY remember a moment of your own party (because you had to make sure every detail was perfect). What if you could be present at your celebration, have someone else do the set up and take down, and have a percent go to charity? That's exactly what we do. Find out more about partying with a purpose, (without the hassle) by clicking below!",Your party. We Plan it.,,,,celebrateforgood.com/how-it-works,tp:1178478948919858,1624157600969567:66ad4dc7123d6abbc4f59d50d5d63466,,,,,,Link Page Post Ad,utm_source=facebook&utm_medium=cpc&utm_campaign=Birthday%20Targets&utm_term=Women-18-45-Dec%2BNov&utm_content=Flowers%201,,,,,,LEARN_MORE,,"[{""action.type"":[""offsite_conversion""]}]",No,,https://business.facebook.com/1818914131671420/posts/2042637359299095?business_id=1302633089788688,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg:23842701703370778,Birthday Targets,ACTIVE,Traffic,AUCTION,,,,,,,,c:23842701703420778,ACTIVE,0,Women-18-45-Dec+Nov,10/17/17 23:25,10/23/17 23:07,10,UNDEFINED,0,,,No,,,,o:1818914131671420,,,,,https://www.celebrateforgood.com/how-it-works/,,,,,,,,,,,,Tucson (Sierra Vista),,"home, recent",,,,,,,,,,Women,18,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""life_events"":[{""id"":""6048810914583"",""name"":""Birthday in December""},{""id"":""6048810938183"",""name"":""Birthday in November""}]},{""interests"":[{""id"":""6003222044676"",""name"":""Charitable organization""},{""id"":""6003422719241"",""name"":""Charity and causes""}]}]",,none,,,,facebook,feed,,,,"mobile, desktop",,,,,,,LINK_CLICKS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":1}]",LINK_CLICKS,,Lowest Cost,,a:23842701703560778,ACTIVE,https://www.facebook.com/?feed_demo_ad=23842701703560778&h=AQDyxdNXk12_wOIt,,Party-1,How It Works,"You are watching your friends walk out the door, one by one, seemingly pleased with the party you have put on. However, as you close that big wooden door and turn around, you realize there is a pile of dishes the size of Mount Kilimanjaro, you have to be up early for work, and you don't ACTUALLY remember a moment of your own party (because you had to make sure every detail was perfect). What if you could be present at your celebration, have someone else do the set up and take down, and have a percent go to charity? That's exactly what we do. Find out more about partying with a purpose, (without the hassle) by clicking below!",Your party. We Plan it.,,,,celebrateforgood.com/how-it-works,tp:1178478948919858,1624157600969567:f55a5140e093ed45a610e0e606cafecb,,,,,,Link Page Post Ad,utm_source=facebook&utm_medium=cpc&utm_campaign=Birthday%20Targets&utm_term=Women-18-45-Dec%2BNov&utm_content=Party%201,,,,,,LEARN_MORE,,"[{""action.type"":[""offsite_conversion""]}]",No,,https://business.facebook.com/1818914131671420/posts/2042633672632797?business_id=1302633089788688,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cg:23842701703370778,Birthday Targets,ACTIVE,Traffic,AUCTION,,,,,,,,c:23842701703420778,ACTIVE,0,Women-18-45-Dec+Nov,10/17/17 23:25,10/23/17 23:07,10,UNDEFINED,0,,,No,,,,o:1818914131671420,,,,,https://www.celebrateforgood.com/how-it-works/,,,,,,,,,,,,Tucson (Sierra Vista),,"home, recent",,,,,,,,,,Women,18,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""life_events"":[{""id"":""6048810914583"",""name"":""Birthday in December""},{""id"":""6048810938183"",""name"":""Birthday in November""}]},{""interests"":[{""id"":""6003222044676"",""name"":""Charitable organization""},{""id"":""6003422719241"",""name"":""Charity and causes""}]}]",,none,,,,facebook,feed,,,,"mobile, desktop",,,,,,,LINK_CLICKS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":1}]",LINK_CLICKS,,Lowest Cost,,a:23842701704140778,ACTIVE,https://www.facebook.com/?feed_demo_ad=23842701704140778&h=AQBSsvfy4EhR8HHN,,Video-1,How It Works,"You are watching your friends walk out the door, one by one, seemingly pleased with the party you have put on. However, as you close that big wooden door and turn around, you realize there is a pile of dishes the size of Mount Kilimanjaro, you have to be up early for work, and you don't ACTUALLY remember a moment of your own party (because you had to make sure every detail was perfect). What if you could be present at your celebration, have someone else do the set up and take down, and have a percent go to charity? That's exactly what we do. Find out more about partying with a purpose, (without the hassle) by clicking below!",Your party. We Plan it.,,,,celebrateforgood.com/how-it-works,tp:1178478948919858,1624157600969567:4d82a51991a3095c66ef00288e787fc0,,,,,,Video Page Post Ad,utm_source=facebook&utm_medium=cpc&utm_campaign=Birthday%20Targets&utm_term=Women-18-45-Dec%2BNov&utm_content=Video%201,,v:10155578581626006,,,,LEARN_MORE,,"[{""action.type"":[""offsite_conversion""]}]",No,,https://business.facebook.com/1818914131671420/posts/10155578613731006?business_id=1302633089788688,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
